X,Y,Z,Name,original_Indirizzo,Regione,lat,lon,formatted,housenumber,street,district,postcode,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url,Indirizzo,Regione,code,level,license,name2,url
16.2472597,39.3137613,0,Via Roberta Lanzino,"Via R. Lanzino  33, Cosenza",Calabria,39.3137613,16.2472597,"Via Roberta Lanzino, 33, 87100 Cosenza CS, Italia","33",Via Roberta Lanzino,,"87100",Quartiere Tribunale,Cosenza,Cosenza,CS,Calabria,CAL,Italia,it,"5.0",1,1,"0.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via R. Lanzino  33, Cosenza",Calabria,it,"0",Open Database License,Via Roberta Lanzino,https://www.openstreetmap.org/copyright
14.0548326,37.4833398,0,Via Rochester,"Via Rochester 34/A, Caltanissetta",Sicilia,37.4833398,14.0548326,"Via Rochester, 34/a, 93100 Caltanissetta CL, Italia",34/a,Via Rochester,,"93100",San Luca,Caltanissetta,Caltanissetta,CL,Sicilia,SIC,Italia,it,"5.0",1,1,"0.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via Rochester 34/A, Caltanissetta",Sicilia,it,"0",Open Database License,Via Rochester,https://www.openstreetmap.org/copyright
13.852463,41.201588,0,,"Via Milano  1, Cellole",Campania,41.201588,13.852463,"Via Milano, 1, 81030 Cellole CE, Italia","1",Via Milano,Comune di Cellole,"81030",,Cellole,Caserta,CE,Campania,CAM,Italia,it,"1.0",1,1,"1.0",© OpenAddresses contributors,BSD-3-Clause License,,"Via Milano  1, Cellole",Campania,it,"1",BSD-3-Clause License,,
13.121592,38.048744,0,,"Via Biagio Cannao'  11, Partinico",Sicilia,38.048744,13.121592,"Via Biagio Cannao', 11, 90047 Partinico PA, Italia","11",Via Biagio Cannao',Comune di Partinico,"90047",,Partinico,Palermo,PA,Sicilia,SIC,Italia,it,"1.0",1,1,"1.0",© OpenAddresses contributors,BSD-3-Clause License,,"Via Biagio Cannao'  11, Partinico",Sicilia,it,"1",BSD-3-Clause License,,
12.4637948,41.9262307,0,Viale del Vignola,"Viale Del Vignola  66/B, Roma",Lazio,41.9262307,12.4637948,"Viale del Vignola, 66, 00196 Roma RM, Italia","66",Viale del Vignola,,"00196",Flaminio,Roma,Roma,RM,Lazio,LAZ,Italia,it,"95.0",1,1,"95.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Viale Del Vignola  66/B, Roma",Lazio,it,"95",Open Database License,Viale del Vignola,https://www.openstreetmap.org/copyright
16.168305,41.858513,0,,"Via Gall. Madonna Della Libera  17, Vieste",Puglia,41.858513,16.168305,"Via Reginella, 17, 71019 Comune di Vieste FG, Italia","17",Via Reginella,,"71019",,Comune di Vieste,Foggia,FG,Puglia,PUG,Italia,it,"7.147058823529413E15",81,1.42941176470588e+16,"0.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via Gall. Madonna Della Libera  17, Vieste",Puglia,it,"0",Open Database License,,https://www.openstreetmap.org/copyright
14.676844,38.09272,0,,"Via Giuseppe Mazzini  27, Torrenova",Sicilia,38.09272,14.676844,"Via Giuseppe Mazzini, 27, 98070 Torrenova ME, Italia","27",Via Giuseppe Mazzini,Comune di Torrenova,"98070",,Torrenova,Messina,ME,Sicilia,SIC,Italia,it,"1.0",1,1,"1.0",© OpenAddresses contributors,BSD-3-Clause License,,"Via Giuseppe Mazzini  27, Torrenova",Sicilia,it,"1",BSD-3-Clause License,,
15.094189,37.583257,0,,"Via Aurora  33/35, S. G. La Punta",Sicilia,37.583257,15.094189,"Via Aurora, 33, 95037 San Giovanni la Punta CT, Italia","33",Via Aurora,Comune di San Giovanni la Punta,"95037",,San Giovanni la Punta,Catania,CT,Sicilia,SIC,Italia,it,"3.040071096774194E15",413343,413343,"3.9267585E7",© OpenAddresses contributors,BSD-3-Clause License,,"Via Aurora  33/35, S. G. La Punta",Sicilia,it,"39267585",BSD-3-Clause License,,
15.0072764,37.5182969,0,Via Giuseppe Garibaldi,"Via G. Garibaldi  440, Misterbianco",Sicilia,37.5182969,15.0072764,"Via Giuseppe Garibaldi, 440, 95045 Misterbianco CT, Italia","440",Via Giuseppe Garibaldi,,"95045",Milicia,Misterbianco,Catania,CT,Sicilia,SIC,Italia,it,"75.0",1,1,"75.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via G. Garibaldi  440, Misterbianco",Sicilia,it,"75",Open Database License,Via Giuseppe Garibaldi,https://www.openstreetmap.org/copyright
16.15799,39.404795,0,,"C.So Italia  90, Montalto Uffugo",Calabria,39.404795,16.15799,"Montalto Uffugo, CS, Italia",,,,"87046",,Montalto Uffugo,Cosenza,CS,Calabria,CAL,Italia,it,"25.0",1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"C.So Italia  90, Montalto Uffugo",Calabria,it,,Open Database License,,https://www.openstreetmap.org/copyright
15.545883,41.456612,0,,"Viale Giuseppe Mazzini 21/B, Foggia",Puglia,41.456612,15.545883,"Viale Giuseppe Mazzini, 21, 71121 Foggia FG, Italia","21",Viale Giuseppe Mazzini,Comune di Foggia,"71121",,Foggia,Foggia,FG,Puglia,PUG,Italia,it,"95.0",1,1,"95.0",© OpenAddresses contributors,BSD-3-Clause License,,"Viale Giuseppe Mazzini 21/B, Foggia",Puglia,it,"95",BSD-3-Clause License,,
14.872651,37.638676,0,,"Corso Attanasio 12, Biancavilla",Sicilia,37.638676,14.872651,"Via Corso, 12, 95033 Biancavilla CT, Italia","12",Via Corso,Comune di Biancavilla,"95033",,Biancavilla,Catania,CT,Sicilia,SIC,Italia,it,"5.0",1,5,"5.0",© OpenAddresses contributors,BSD-3-Clause License,,"Corso Attanasio 12, Biancavilla",Sicilia,it,"5",BSD-3-Clause License,,
18.169729,40.352504,0,,"Via M. Colosso  23, Lecce",Puglia,40.352504,18.169729,"Comune di Lecce (Lecce), LE, Italia",,,Comune di Lecce,,,Lecce,Lecce,LE,Puglia,PUG,Italia,it,"25.0",1,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/,"Via M. Colosso  23, Lecce",Puglia,it,,CC0,,https://www.whosonfirst.org/docs/licenses/
12.421403,41.902409,0,,"Via Gregorio Xi  33, Roma",Lazio,41.902409,12.421403,"Via Gregorio Xi, 33, 00166 Roma RM, Italia","33",Via Gregorio Xi,Roma,"00166",Aurelio,Roma,Roma,RM,Lazio,LAZ,Italia,it,"1.0",1,1,"1.0",© OpenAddresses contributors,BSD-3-Clause License,,"Via Gregorio Xi  33, Roma",Lazio,it,"1",BSD-3-Clause License,,
14.9027509,37.5673802,0,,"Via Garibaldi  143, Paterno'",Sicilia,37.5673802,14.9027509,"Via Giuseppe Garibaldi, 143, 95047 Paternò CT, Italia","143",Via Giuseppe Garibaldi,,"95047",,Paternò,Catania,CT,Sicilia,SIC,Italia,it,"0.0",1,1,"1.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via Garibaldi  143, Paterno'",Sicilia,it,"1",Open Database License,,https://www.openstreetmap.org/copyright
13.315399,38.145015,0,,"Via Cruillas 314, Palermo",Sicilia,38.145015,13.315399,"Via Cruillas, 314, 90146 Palermo PA, Italia","314",Via Cruillas,Comune di Palermo,"90146",,Palermo,Palermo,PA,Sicilia,SIC,Italia,it,"1.0",1,1,"1.0",© OpenAddresses contributors,BSD-3-Clause License,,"Via Cruillas 314, Palermo",Sicilia,it,"1",BSD-3-Clause License,,
